product_id,product (brand),category,sub_category
P0043,Tomato - Local (Fresho),Snacks & Branded Foods,Chocolates & Candies
P0044,Mint Leaves (Fresho),Fruits & Vegetables,Fresh Vegetables
P0045,Fruit Salt - Lemon Flavor (Eno ),Fruits & Vegetables,Fresh Vegetables
P0046,Instant Popcorn - BBQ (4700BC),Beauty & Hygiene,Health & Medicine
P0047,Instant Popcorn - Butter (4700BC),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0048,Instant Popcorn - Seven Spices (4700BC),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0049,Instant Popcorn - Natural Healthy (4700BC),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0050,Drinking Water With Added Minerals (Kinley),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0051,50-50 Jeera Masti Biscuits (Britannia),Beverages,Water
P0053,Puliogare Masala Powder (Eastern),Snacks & Branded Foods,Biscuits & Cookies
P0054,Secret Hot & Sour Instant Soup (Chings),"Foodgrains, Oil & Masala",Masalas & Spices
P0055,Instant Popcorn - Chilly Surprise (ACT II),Snacks & Branded Foods,Ready To Cook & Eat
P0056,Salt/Uppu - Iodised (Aashirvaad),Snacks & Branded Foods,Snacks & Namkeen
P0057,Butter Milk - Spiced (Nandini),"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
P0058,Soap Bar - Care (Lifebuoy),"Bakery, Cakes & Dairy",Dairy
P0059,Lime Bath Soap - 99.9% Germ Protection (Cinthol),Beauty & Hygiene,Bath & Hand Wash
P0060,Fresh Splash Water Lily & Cooling Mint Soap Bar (Lux),Beauty & Hygiene,Bath & Hand Wash
P0061,Jasmine Bloom Soap Bar (Lux),Beauty & Hygiene,Bath & Hand Wash
P0062,50-50 Maska Chaska Salted Biscuits (Britannia),Beauty & Hygiene,Bath & Hand Wash
P0063,Biscuits - Monaco Salted Snack (Parle),Snacks & Branded Foods,Biscuits & Cookies
P0064,Biscuits - Googly (Bisk Farm),Snacks & Branded Foods,Biscuits & Cookies
P0065,Marie Light Oats Biscuits (Sunfeast),Snacks & Branded Foods,Biscuits & Cookies
P0066,Marie Light Biscuits - Active (Sunfeast),Snacks & Branded Foods,Biscuits & Cookies
P0067,Cheese Cracker (Mcvities),Snacks & Branded Foods,Biscuits & Cookies
P0068,Bounce Biscuits - Pineapple Creme (Sunfeast),Snacks & Branded Foods,Biscuits & Cookies
P0069,Veda Marie Light Biscuits (Sunfeast),Snacks & Branded Foods,Biscuits & Cookies
P0070,Thinz - Almond (Bisk Farm),Snacks & Branded Foods,Biscuits & Cookies
P0071,Dream Cream - Choco Vanilla Cream Biscuit - Cookie (Sunfeast),Snacks & Branded Foods,Biscuits & Cookies
P0072,Good Day Butter Cookies (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0073,Bounce Biscuits - Elaichi Creme (Sunfeast),Snacks & Branded Foods,Biscuits & Cookies
P0074,Happy Happy Choco-Chip Cookies (Parle),Snacks & Branded Foods,Biscuits & Cookies
P0075,Top Spin Crackers (Parle),Snacks & Branded Foods,Biscuits & Cookies
P0076,Biscuit - Nariyal (Patanjali),Snacks & Branded Foods,Biscuits & Cookies
P0077,Butter Cookies (Amul),Snacks & Branded Foods,Biscuits & Cookies
P0078,Chocos Crunchy Bites (Kelloggs),Snacks & Branded Foods,Biscuits & Cookies
P0079,Chocos - Magic Hearts (Kelloggs),Snacks & Branded Foods,Breakfast Cereals
P0080,Chocos Webs - Spiderman (Kelloggs),Snacks & Branded Foods,Breakfast Cereals
P0082,"Breakfast Cereal - Chocolate Flavour, Small Pack (Nestle Koko Krunch)",Snacks & Branded Foods,Breakfast Cereals
P0083,Fiber Rich Choclaq (Zerobeli),Snacks & Branded Foods,Breakfast Cereals
P0084,Honey Almond Corn Flakes (Zerobeli),Snacks & Branded Foods,Breakfast Cereals
P0085,Centre Filled Cup Cake - with Vanilla Cream (Winkies),Snacks & Branded Foods,Breakfast Cereals
P0086,Strawberry Muffils (Britannia),"Bakery, Cakes & Dairy",Cakes & Pastries
P0087,Centre Filled Chocolate Cake - with Vanilla Cream (Winkies),"Bakery, Cakes & Dairy",Cakes & Pastries
P0088,Cake NOVO Finger - Chocolate (Winkies),"Bakery, Cakes & Dairy",Cakes & Pastries
P0089,"Chocolate Roll - Swiss, Mini (Winkies)","Bakery, Cakes & Dairy",Cakes & Pastries
P0090,Choco Muffills (Britannia),"Bakery, Cakes & Dairy",Cakes & Pastries
P0091,Roll Yo! Choco Swiss Roll (Britannia),"Bakery, Cakes & Dairy",Cakes & Pastries
P0092,Happy Happy Egg Cake - Vanilla (Parle),"Bakery, Cakes & Dairy",Cakes & Pastries
P0093,Spyroll (Bauli),"Bakery, Cakes & Dairy",Cakes & Pastries
P0094,Roll - Swiss Single (Dream Bake),"Bakery, Cakes & Dairy",Cakes & Pastries
P0095,Choco Layer Cake (Britannia),"Bakery, Cakes & Dairy",Cakes & Pastries
P0096,Gems - Sugar Coated Chocolate (Cadbury),"Bakery, Cakes & Dairy",Cakes & Pastries
P0097,Shots (Cadbury Dairy Milk),Snacks & Branded Foods,Chocolates & Candies
P0098,Chewing Gum - Peppermint (Doublemint),Snacks & Branded Foods,Chocolates & Candies
P0099,Xtra Peppermint Flavour - Chewing Gum Stick (Center Fresh),Snacks & Branded Foods,Chocolates & Candies
P0100,Chewing Gum Stick - Fruits Flavour (Center Fruit),Snacks & Branded Foods,Chocolates & Candies
P0101,Jellicious - Jelimals (Candyman),Snacks & Branded Foods,Chocolates & Candies
P0102,Breath Mint - The Mint With The Hole (Polo),Snacks & Branded Foods,Chocolates & Candies
P0103,White Chocolate Bar (Nestle ),Snacks & Branded Foods,Chocolates & Candies
P0104,Sunrise Coffee (Nescafe ),Snacks & Branded Foods,Chocolates & Candies
P0105,Traditional Filter Coffee Decoction (iD),Beverages,Coffee
P0108,"Coffee - Premix, Instant (Narasus)",Beverages,Coffee
P0109,"Brinjal - Varikatri, Organically Grown (Fresho)",Beverages,Coffee
P0110,Dill Leaves (Fresho),Fruits & Vegetables,Fresh Vegetables
P0111,Sugarcane (Fresho),Fruits & Vegetables,Fresh Vegetables
P0112,Juice - Mango Refresh (Maaza),Fruits & Vegetables,Fresh Fruits
P0113,Coriander Leaves (Fresho),Beverages,Fruit Juices & Drinks
P0114,Lemon Grass (Fresho),Fruits & Vegetables,Herbs & Seasonings
P0115,"Chikki, Peanut Bar (Paper Boat)",Fruits & Vegetables,Herbs & Seasonings
P0116,Secret Schezwan Fried Rice Masala (Chings),Snacks & Branded Foods,Indian Mithai
P0117,Paneer Chilli Masala (Ching'S Secret),"Foodgrains, Oil & Masala",Masalas & Spices
P0118,Secret Veg Manchurian Masala (Chings),"Foodgrains, Oil & Masala",Masalas & Spices
P0119,Masala - Lemon Rice Powder (MTR),"Foodgrains, Oil & Masala",Masalas & Spices
P0122,Masala - Tomato Rice Powder (MTR),"Foodgrains, Oil & Masala",Masalas & Spices
P0123,Secret Chowmein Hakka Noodles Masala (Chings),"Foodgrains, Oil & Masala",Masalas & Spices
P0124,Lime Bath Soap - 99.9% Germ Protection (Cinthol),"Foodgrains, Oil & Masala",Masalas & Spices
P0125,Utensil Scrubber - Green (Milton - Spotzero),Beauty & Hygiene,Men's Grooming
P0126,Noodles - Fiery Chilli (Top Ramen ),Cleaning & Household,"Mops, Brushes & Scrubs"
P0127,"Brinjal - Varikatri, Organically Grown (Fresho)",Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
P0128,Mint - Organically Grown (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0129,Kale (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0130,Tulsi Leaves (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0131,Pooja Agarbatti - Treya 3 in 1 (Mangaldeep),Fruits & Vegetables,Organic Fruits & Vegetables
P0132,"Incense Sticks - Namo Paduka, Scented (GIRI)",Cleaning & Household,Pooja Needs
P0133,Instant Sweet Corn Cup-A-Soup (Knorr),Cleaning & Household,Pooja Needs
P0134,Cup-A-Soup - Hot & Sour Veg (Knorr),Snacks & Branded Foods,Ready To Cook & Eat
P0135,Instant Mixed Vegetable Cup-A-Soup (Knorr),Snacks & Branded Foods,Ready To Cook & Eat
P0136,Namkeen - Aloo Bhujia (Haldirams ),Snacks & Branded Foods,Ready To Cook & Eat
P0137,Namkeen - Bhujia Sev (Haldirams ),Snacks & Branded Foods,Snacks & Namkeen
P0138,Namkeen - Tasty Nuts (Haldirams ),Snacks & Branded Foods,Snacks & Namkeen
P0139,Potato Chips - Calm Cream & Onion Flavour (Lays),Snacks & Branded Foods,Snacks & Namkeen
P0140,Namkeen - Lite Chiwda (Haldirams ),Snacks & Branded Foods,Snacks & Namkeen
P0141,Namkeen - Mixture (Haldirams ),Snacks & Branded Foods,Snacks & Namkeen
P0142,Nachos Cheese Tortilla Chips (Doritos),Snacks & Branded Foods,Snacks & Namkeen
P0143,Namkeen - Lemon Bhel (Haldirams ),Snacks & Branded Foods,Snacks & Namkeen
P0144,Namkeen - Chilli Chatka (Kurkure),Snacks & Branded Foods,Snacks & Namkeen
P0145,Namkeen - Madras Mixture (Townbus),Snacks & Branded Foods,Snacks & Namkeen
P0146,Namkeen - Ribbon Pakoda (Townbus),Snacks & Branded Foods,Snacks & Namkeen
P0147,Namkeen - Green Chutney Rajasthani Style (Kurkure),Snacks & Branded Foods,Snacks & Namkeen
P0148,Sweet Chilli Tortilla Chips (Doritos),Snacks & Branded Foods,Snacks & Namkeen
P0149,Namkeen - Corn Flakes Mixture (Townbus),Snacks & Branded Foods,Snacks & Namkeen
P0150,Mad Angles Chips - Tomato Madness (Bingo),Snacks & Branded Foods,Snacks & Namkeen
P0151,Namkeen - Naughty Tomatoes (Kurkure),Snacks & Branded Foods,Snacks & Namkeen
P0152,Masala Balls Snacks (Cheetos),Snacks & Branded Foods,Snacks & Namkeen
P0154,Mad Angles Achari Masti (Bingo),Snacks & Branded Foods,Snacks & Namkeen
P0155,Instant Diet Popcorn - Contains Olive Oil (PIPO),Snacks & Branded Foods,Snacks & Namkeen
P0156,Instant Popcorn - Chilli Surprise (PIPO),Snacks & Branded Foods,Snacks & Namkeen
P0157,Instant Popcorn - Butter Lovers (PIPO),Snacks & Branded Foods,Snacks & Namkeen
P0158,Namkeen - Moong Dal (Haldirams ),Snacks & Branded Foods,Snacks & Namkeen
P0159,Hot & Sweet Chilli (Lays),Snacks & Branded Foods,Snacks & Namkeen
P0160,Namkeen - Butter Murukku (Townbus),Snacks & Branded Foods,Snacks & Namkeen
P0161,Namkeen - Khara Boondi (Townbus),Snacks & Branded Foods,Snacks & Namkeen
P0162,Mad Angles Cheese Nachos Chips (Bingo),Snacks & Branded Foods,Snacks & Namkeen
P0163,Potato Crisps - Cream 'N' Onion (Parle),Snacks & Branded Foods,Snacks & Namkeen
P0164,"Gel Pen - Black, Octane (Classmate)",Snacks & Branded Foods,Snacks & Namkeen
P0165,Butter Gelpen - Blue (Cello),Cleaning & Household,Stationery
P0166,Glare Mech Pencil (Nataraj),Cleaning & Household,Stationery
P0167,Tru Mango (Amul),Cleaning & Household,Stationery
P0169,Tru Litchi (Amul),"Bakery, Cakes & Dairy",Dairy
P0170,Tru Orange (Amul),"Bakery, Cakes & Dairy",Dairy
P0171,Tru Apple (Amul),"Bakery, Cakes & Dairy",Dairy
P0172,Daily Fresh Dahi (Britannia),"Bakery, Cakes & Dairy",Dairy
P0173,Dishwash Bar (Pril),"Bakery, Cakes & Dairy",Dairy
P0174,Active - Detergent Cake Blue (Wheel ),Cleaning & Household,Detergents & Dishwash
P0175,Strawberry Drink (Ala Fresh),Cleaning & Household,Detergents & Dishwash
P0176,Apple Drink (Ala Fresh),Gourmet & World Food,Drinks & Beverages
P0177,Pineapple Drink (Ala Fresh),Gourmet & World Food,Drinks & Beverages
P0178,Watermelon Drink (Ala Fresh),Gourmet & World Food,Drinks & Beverages
P0179,Orange Drink (Ala Fresh),Gourmet & World Food,Drinks & Beverages
P0180,Litchi Drink (Ala Fresh),Gourmet & World Food,Drinks & Beverages
P0181,Kiwi Drink (Ala Fresh),Gourmet & World Food,Drinks & Beverages
P0182,Apple Juice Based Drink (Appy Fizz),Gourmet & World Food,Drinks & Beverages
P0183,Mint - Organically Grown (Fresho),Beverages,Energy & Soft Drinks
P0184,Lemon Grass (Fresho),Fruits & Vegetables,Exotic Fruits & Veggies
P0185,"Sanitary Napkin - Extra Long, Travel Pack (Niine)",Fruits & Vegetables,Exotic Fruits & Veggies
P0186,Cabbage (Fresho),Beauty & Hygiene,Feminine Hygiene
P0187,Cucumber (Fresho),Fruits & Vegetables,Fresh Vegetables
P0188,Colocasia (Fresho),Fruits & Vegetables,Fresh Vegetables
P0189,Betel Leaf (Fresho),Fruits & Vegetables,Fresh Vegetables
P0190,Colocasia - Organically Grown (Fresho),Fruits & Vegetables,Fresh Vegetables
P0192,Colocasia - Organically Grown (Fresho),Fruits & Vegetables,Fresh Vegetables
P0193,Organic Garlic Powder - Dehydrated (bb Royal),Fruits & Vegetables,Organic Fruits & Vegetables
P0194,Orange Chewy Dragees (Mentos),"Foodgrains, Oil & Masala",Organic Staples
P0195,Moonfils Orange (Bauli),Snacks & Branded Foods,Chocolates & Candies
P0196,Beetroot (Fresho),"Bakery, Cakes & Dairy",Gourmet Breads
P0197,Basale Leaf (Fresho),Fruits & Vegetables,Fresh Vegetables
P0198,Pain Relief Cream (Moov),Fruits & Vegetables,Fresh Vegetables
P0199,Yippee Magic Masala Noodles (Sunfeast),Beauty & Hygiene,Health & Medicine
P0200,1-2-3 Noodles - Chicken Flavour (Wai Wai),Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
P0201,1-2-3 Noodles - Veg Masala Flavour (Wai Wai),Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
P0202,"Capsicum - Green, Organically Grown (Fresho)",Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
P0203,Puja Wicks - Lingam Batti (Jaji),Fruits & Vegetables,Organic Fruits & Vegetables
P0204,1-2-3 Noodles - Chicken Flavour (Wai Wai),Cleaning & Household,Pooja Needs
P0205,1-2-3 Noodles - Veg Masala Flavour (Wai Wai),Snacks & Branded Foods,Snacks & Namkeen
P0206,Khatta Meetha (Tasties),Snacks & Branded Foods,Snacks & Namkeen
P0208,Moong Dal (Tasties),Snacks & Branded Foods,Snacks & Namkeen
P0209,Aloo Bhujia (Tasties),Snacks & Branded Foods,Snacks & Namkeen
P0210,CUBE Detergent Bar 2 In 1 (Ok),Snacks & Branded Foods,Snacks & Namkeen
P0211,"Capsicum - Green, Organically Grown (Fresho)",Cleaning & Household,Detergents & Dishwash
P0212,Snake Gourd (Fresho),Fruits & Vegetables,Exotic Fruits & Veggies
P0213,"Chilli - Green Long, Medium (Fresho)",Fruits & Vegetables,Fresh Vegetables
P0214,"Gold Glow Face Wash For Radiant Skin With Gold, Chandan, Turmeric (Olivia)",Fruits & Vegetables,Herbs & Seasonings
P0215,"Ultra-Fresh Fairness Face Wash With Milk, Licorice, Saffron (Olivia)",Beauty & Hygiene,Skin Care
P0216,"Herbal Acne Repair Face Wash For Clear Skin With Neem, Tulsi, Aloe Vera (Olivia)",Beauty & Hygiene,Skin Care
P0217,Safal Steel Scrubber (Exo),Beauty & Hygiene,Skin Care
P0218,Spring Onion (Fresho),Cleaning & Household,"Mops, Brushes & Scrubs"
P0219,Coccinia - Organically Grown (Fresho),Fruits & Vegetables,Fresh Vegetables
P0220,Drumstick - Organically Grown (Fresho),Fruits & Vegetables,Fresh Vegetables
P0221,Neem Giloy (Amruta Balli) - Organically Grown (Fresho),Fruits & Vegetables,Fresh Vegetables
P0222,Curry Leaves - Organically Grown (Fresho),Fruits & Vegetables,Herbs & Seasonings
P0223,Coccinia - Organically Grown (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0224,Drumstick - Organically Grown (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0225,Neem Giloy (Amruta Balli) - Organically Grown (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0226,Post It - 1.5 x 2 Inches (Oddy ),Fruits & Vegetables,Organic Fruits & Vegetables
P0227,"Treat Croissant - Cocoa Creme Roll, 100% Veg (Britannia)",Cleaning & Household,Stationery
P0228,"Treat Croissant - Vanilla Creme Roll, 100% Veg (Britannia)","Bakery, Cakes & Dairy",Cakes & Pastries
P0229,"Treat Croissant - Cocoa Creme Roll, 100% Veg (Britannia)","Bakery, Cakes & Dairy",Cakes & Pastries
P0230,"Treat Croissant - Vanilla Creme Roll, 100% Veg (Britannia)","Bakery, Cakes & Dairy",Gourmet Breads
P0231,Masala - Lemon Rice Powder (MTR),"Bakery, Cakes & Dairy",Gourmet Breads
P0232,Masala - Tomato Rice Powder (MTR),"Foodgrains, Oil & Masala",Masalas & Spices
P0233,Nacho Crisps - Tikka Masala (Cornitos),"Foodgrains, Oil & Masala",Masalas & Spices
P0234,Nacho Crisps - Tomato Mexicana (Cornitos),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0235,Nacho Crisps - Cheese & Herbs (Cornitos),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0237,Nacho Crisps - Barbeque (Cornitos),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0238,Chewy Candy Stick - Strawberry Flavour (Mentos),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0239,Chalk Cockroach Killer (HIT),Snacks & Branded Foods,Chocolates & Candies
P0240,Capsicum - Green (Fresho),Cleaning & Household,Fresheners & Repellents
P0241,Beans - Cluster (Fresho),Fruits & Vegetables,Fresh Vegetables
P0242,Brinjal - Varikatri (Fresho),Fruits & Vegetables,Fresh Vegetables
P0243,Tomato - Hybrid (Fresho),Fruits & Vegetables,Fresh Vegetables
P0245,Bitter Gourd - Organically Grown (Fresho),Fruits & Vegetables,Fresh Vegetables
P0246,Lettuce - Green (Fresho),Fruits & Vegetables,Fresh Vegetables
P0247,Fresh Turmeric - Organically Grown (Fresho),Fruits & Vegetables,Fresh Vegetables
P0249,"Chilli - Bajji, Mild (Fresho)",Fruits & Vegetables,Herbs & Seasonings
P0250,Mustard/Sasive/Rai - Small (bb Popular),Fruits & Vegetables,Herbs & Seasonings
P0251,Bitter Gourd - Organically Grown (Fresho),"Foodgrains, Oil & Masala",Masalas & Spices
P0252,Fresh Turmeric - Organically Grown (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0253,Salt/Uppu - Free Flow (Akar),Fruits & Vegetables,Organic Fruits & Vegetables
P0254,Lettuce - Green (Fresho),"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
P0255,Snake Gourd - Organically Grown (Fresho),Fruits & Vegetables,Exotic Fruits & Veggies
P0256,Toothbrush - Junior (Patanjali),Fruits & Vegetables,Organic Fruits & Vegetables
P0257,Aloe Vera Kanti - Body Cleanser Soap (Patanjali),Baby Care,Baby Bath & Hygiene
P0258,Marie Light Biscuit - Vita Orange (Sunfeast),Beauty & Hygiene,Bath & Hand Wash
P0259,Kitkat 2 Fingers (Nestle ),Snacks & Branded Foods,Biscuits & Cookies
P0260,Platina - Nutricrunch Digestive Marie (Parle),Snacks & Branded Foods,Biscuits & Cookies
P0261,NutriChoice Oats Cookies - Orange Almond (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0263,NutriChoice Oats Cookies - Milk Almond (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0264,Bun - Burger (English Oven),Snacks & Branded Foods,Biscuits & Cookies
P0265,Masala Oats - Classic Masala (Saffola),"Bakery, Cakes & Dairy",Breads & Buns
P0266,Masala Oats - Masala & Coriander (Saffola),Snacks & Branded Foods,Breakfast Cereals
P0267,Masala Oats - Peppy Tomato (Saffola),Snacks & Branded Foods,Breakfast Cereals
P0268,Masala Oats - Curry & Pepper (Saffola),Snacks & Branded Foods,Breakfast Cereals
P0269,Masala Oats - Pongal Surprise (Saffola),Snacks & Branded Foods,Breakfast Cereals
P0270,Moonfils - Vanilla (Bauli),Snacks & Branded Foods,Breakfast Cereals
P0271,Pineapple Cake (Britannia),"Bakery, Cakes & Dairy",Cakes & Pastries
P0272,Moonfils Veg - Choco (Bauli),"Bakery, Cakes & Dairy",Cakes & Pastries
P0274,Moonfils - Strawberry (Bauli),"Bakery, Cakes & Dairy",Cakes & Pastries
P0275,Gobbles Orange Bites Cake (Britannia),"Bakery, Cakes & Dairy",Cakes & Pastries
P0276,Milk Cake (Britannia),"Bakery, Cakes & Dairy",Cakes & Pastries
P0277,Moonfils Veg - Strawberry (Bauli),"Bakery, Cakes & Dairy",Cakes & Pastries
P0278,Kitkat 2 Fingers (Nestle ),"Bakery, Cakes & Dairy",Cakes & Pastries
P0279,Chewy Candy Stick - Mint Flavour (Mentos),Snacks & Branded Foods,Chocolates & Candies
P0280,Marigold Flower - Yellow (Fresho),Snacks & Branded Foods,Chocolates & Candies
P0281,Bottle Gourd (Fresho),Fruits & Vegetables,"Flower Bouquets, Bunches"
P0282,Ash Gourd - Cut (Fresho),Fruits & Vegetables,Fresh Vegetables
P0283,Baby Corn - Unpeeled (Fresho),Fruits & Vegetables,Fresh Vegetables
P0284,Drink - Fresh 'N' Juicy Mango (Frooti),Fruits & Vegetables,Fresh Vegetables
P0285,Moonfils Choco Cream (Bauli),Beverages,Fruit Juices & Drinks
P0286,Comb - 5 Flat Pocket Derby No 58 (Ego of Paris),"Bakery, Cakes & Dairy",Gourmet Breads
P0287,Shanti - Badam Amla Hair Oil (Nihar),Beauty & Hygiene,Hair Care
P0289,Comb - Derby Deluxe No 05 (Ego of Paris),Beauty & Hygiene,Hair Care
P0290,Ginger (Fresho),Beauty & Hygiene,Hair Care
P0291,Ready Masala - Hyderabadi Biryani (Kohinoor),Fruits & Vegetables,Herbs & Seasonings
P0292,Ready Masala - Punjabi Paneer (Kohinoor),"Foodgrains, Oil & Masala",Masalas & Spices
P0293,Ready Masala - Mumbai Pav Bhaji (Kohinoor),"Foodgrains, Oil & Masala",Masalas & Spices
P0294,Ready Masala - Dilli Choley (Kohinoor),"Foodgrains, Oil & Masala",Masalas & Spices
P0295,Ready Masala - Jammu Rajma (Kohinoor),"Foodgrains, Oil & Masala",Masalas & Spices
P0296,Ready Masala - Punjabi Butter Chicken (Kohinoor),"Foodgrains, Oil & Masala",Masalas & Spices
P0297,Instant Creamy Cup-a-Soup - Spinach (Keya),"Foodgrains, Oil & Masala",Masalas & Spices
P0298,Scrub Pad (Scotch brite),"Foodgrains, Oil & Masala",Masalas & Spices
P0299,Anti Bacto Scrub (Exo),Cleaning & Household,"Mops, Brushes & Scrubs"
P0300,Scrub Pad - Medium (Scrubit),Cleaning & Household,"Mops, Brushes & Scrubs"
P0301,Noodles - Chicken (Top Ramen ),Cleaning & Household,"Mops, Brushes & Scrubs"
P0302,Mogra Agarbatti (Arham),Snacks & Branded Foods,"Noodle, Pasta, Vermicelli"
P0303,Herbal Incense Sticks - Goudhooli (Gou Ganga),Cleaning & Household,Pooja Needs
P0304,Cup-A-Soup - Chicken Delite (Knorr),Cleaning & Household,Pooja Needs
P0305,Instant Creamy - Mushroom Soup (Keya),Snacks & Branded Foods,Ready To Cook & Eat
P0309,Instant Cup-A-Soup - Creamy Chicken (Keya),Snacks & Branded Foods,Ready To Cook & Eat
P0310,Instant Creamy Cup-a-Soup - Tomato (Keya),Snacks & Branded Foods,Ready To Cook & Eat
P0311,Instant Cup-A-Soup - Hot & Sour Vegetable (Keya),Snacks & Branded Foods,Ready To Cook & Eat
P0312,Instant Soup - Creamy Mix Veg (Keya),Snacks & Branded Foods,Ready To Cook & Eat
P0313,Instant Cup-A-Soup - Sweet Corn Vegetable (Keya),Snacks & Branded Foods,Ready To Cook & Eat
